0.5,0.5
0.75,0.25
0.25,0.75
0.375,0.375
0.875,0.875
0.625,0.125
0.125,0.625
0.1875,0.3125
0.6875,0.8125
0.9375,0.0625
0.4375,0.5625
0.3125,0.1875
0.8125,0.6875
0.5625,0.4375
0.0625,0.9375
0.0938,0.4688
0.5938,0.9688
0.8438,0.2188
0.3438,0.7188
0.4688,0.0938
0.9688,0.5938
0.7188,0.3438
0.2188,0.8438
0.1563,0.1563
0.6563,0.6563
0.9063,0.4063
0.4063,0.9063
0.2813,0.2813
0.7813,0.7813
0.5313,0.0313
0.0313,0.5313
0.0469,0.2656
0.5469,0.7656
0.7969,0.0156
0.2969,0.5156
0.4219,0.1406
0.9219,0.6406
0.6719,0.3906
0.1719,0.8906
0.2344,0.0781
0.7344,0.5781
0.9844,0.3281
0.4844,0.8281
0.3594,0.4531
0.8594,0.9531
0.6094,0.2031
0.1094,0.7031
0.0781,0.2344
0.5781,0.7344
0.8281,0.4844
0.3281,0.9844
0.4531,0.3594
0.9531,0.8594
0.7031,0.1094
0.2031,0.6094
0.1406,0.4219
0.6406,0.9219
0.8906,0.1719
0.3906,0.6719
0.2656,0.0469
0.7656,0.5469
0.5156,0.2969
0.0156,0.7969
0.0234,0.3984
0.5234,0.8984
0.7734,0.1484
0.2734,0.6484
0.3984,0.0234
0.8984,0.5234
0.6484,0.2734
0.1484,0.7734
0.2109,0.2109
0.7109,0.7109
0.9609,0.4609
0.4609,0.9609
0.3359,0.3359
0.8359,0.8359
0.5859,0.0859
0.0859,0.5859
0.1172,0.1172
0.6172,0.6172
0.8672,0.3672
0.3672,0.8672
0.4922,0.4922
0.9922,0.9922
0.7422,0.2422
0.2422,0.7422
0.1797,0.3047
0.6797,0.8047
0.9297,0.0547
0.4297,0.5547
0.3047,0.1797
0.8047,0.6797
0.5547,0.4297
0.0547,0.9297
0.0391,0.1328
0.5391,0.6328
0.7891,0.3828
0.2891,0.8828
0.4141,0.2578
